time_s,Vmem_mV,Goldman_Vmem_mV,NaK-ATPase_Rate_mol/m2s,cell_sodium_mmol/L,cell_potassium_mmol/L,cell_chloride_mmol/L,cell_calcium_mmol/L,cell_proteins_mmol/L,cell_anion_mmol/L,Dm_sodium_m2/s,Dm_potassium_m2/s,Dm_chloride_m2/s,Dm_calcium_m2/s,Dm_proteins_m2/s,Dm_anion_m2/s,I_A/m2,HydroP_Pa,OsmoP_Pa,Displacement_um
5.000833472245374445e+00,-3.614303454986043107e+01,-3.166855834496554323e+01,0.000000000000000000e+00,2.329009300837038055e+01,1.291920664232086153e+02,4.939059983646875374e+00,2.118596128262301566e-05,1.350000000018407320e+02,5.578420650313622886e+00,2.999999999999999829e-18,1.000000000000000072e-18,1.000000000000000072e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,7.792949878290527937e-16,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000166694449074889e+01,-3.613506486974011267e+01,-3.168957393894567076e+01,0.000000000000000000e+00,2.390748280830553796e+01,1.285938263787146525e+02,4.958209272449344063e+00,2.118305514250509825e-05,1.350000000019402080e+02,5.579902235851312398e+00,2.999999999999999829e-18,1.000000000000000072e-18,1.000000000000000072e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,7.107060088582913683e-16,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.500250041673612245e+01,-3.634842798121518825e+01,-3.196658965310356137e+01,0.000000000000000000e+00,2.452322947757301108e+01,1.279962885425552770e+02,4.977297073083460255e+00,2.128635344585780596e-05,1.350000000020396840e+02,5.581366966211320779e+00,2.999999999999999829e-18,1.000000000000000072e-18,1.000000000000000072e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,4.911156098200369473e-16,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000333388898149778e+01,-3.727108569126944104e+01,-3.305782686210690002e+01,0.000000000000000000e+00,2.513571165589863554e+01,1.274005566406987100e+02,4.996080031692994972e+00,2.173545588159703036e-05,1.350000000021201174e+02,5.582732772178588654e+00,2.999999999999999829e-18,1.000000000000000072e-18,1.000000000000000072e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,-1.657564268748496312e-16,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.500416736122687311e+01,-4.006678931643136821e+01,-3.631996959820067161e+01,0.000000000000000000e+00,2.573916731962021842e+01,1.268109838120469135e+02,5.013868847321973909e+00,2.312239746414342556e-05,1.350000000021108235e+02,5.583765045021238826e+00,2.999999999999999829e-18,1.000000000000000072e-18,1.000000000000000072e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,-1.656310153828562322e-15,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000500083347224489e+01,-4.588937836847152596e+01,-4.315002231177582104e+01,0.000000000000000000e+00,2.631879990119569968e+01,1.262399765691275348e+02,5.029334665726750586e+00,2.613122798453243440e-05,1.350000000018733601e+02,5.583998371470177524e+00,2.999999999999999829e-18,1.000000000000000072e-18,1.000000000000000072e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,-3.268156049340224507e-15,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.500583430571762023e+01,-5.316743212786830242e+01,-5.132423761799406492e+01,0.000000000000000000e+00,2.683643225190337489e+01,1.257245740610660931e+02,5.041419777302328598e+00,3.011743143633042072e-05,1.350000000012875887e+02,5.583026874618951751e+00,2.999999999999999829e-18,1.000000000000000072e-18,1.000000000000000072e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,-3.219280819020381062e-15,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000666777796299556e+01,-5.891994108948927078e+01,-5.659213366798788059e+01,0.000000000000000000e+00,2.722803395841044605e+01,1.253304163532306461e+02,5.050528503340434128e+00,3.345675997027725321e-05,1.350000000004251888e+02,5.580946960913410138e+00,2.999999999999999829e-18,1.000000000000000072e-18,1.000000000000000072e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,-2.157068892654062135e-15,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.500750125020837089e+01,-6.242146493659481621e+01,-5.875957306103808264e+01,0.000000000000000000e+00,2.746757086259119518e+01,1.250856650375841213e+02,5.057772750267168327e+00,3.558318732572571301e-05,1.349999999994980442e+02,5.578145573004823277e+00,2.999999999999999829e-18,1.000000000000000072e-18,1.000000000000000072e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,-1.265729739823283331e-15,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000833472245374622e+01,-6.432555722551555277e+01,-5.948013859100181122e+01,0.000000000000000000e+00,2.758548137461095706e+01,1.249612246045428066e+02,5.064010216307349488e+00,3.677384897291346272e-05,1.349999999986957562e+02,5.574946210299527749e+00,2.999999999999999829e-18,1.000000000000000072e-18,1.000000000000000072e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,-7.247874337875539780e-16,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.500916819469912156e+01,-6.531448710068029584e+01,-5.970567381264383044e+01,0.000000000000000000e+00,2.762604219087211277e+01,1.249135274921501377e+02,5.069728911732660492e+00,3.740276895594198337e-05,1.349999999981114058e+02,5.571541531041303230e+00,2.999999999999999829e-18,1.000000000000000072e-18,1.000000000000000072e-18,1.000000000000000072e-18,0.000000000000000000e+00,1.000000000000000072e-18,-4.115235818528793298e-16,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
